expression,expression_length
NNTTTNNNNS,10
NNTTTNNNTS,10
NNTTTNNTNS,10
NNTTTNNTTS,10
NNTTTNTNNS,10
NNTTTNTNTS,10
NNTTTNTTNS,10
NNTTTNTTTS,10
NNTTTTNNNS,10
NNTTTTNNTS,10
NNTTTTNTNS,10
NNTTTTNTTS,10
NNTTTTTNNS,10
NNTTTTTNTS,10
NNTTTTTTNS,10
NNTTTTTTTS,10
NTNNNNNNNS,10
NTNNNNNNTS,10
NTNNNNNTNS,10
NTNNNNNTTS,10
NTNNNNTNNS,10
NTNNNNTNTS,10
NTNNNNTTNS,10
NTNNNNTTTS,10
NTNNNTNNNS,10
NTNNNTNNTS,10
NTNNNTNTNS,10
NTNNNTNTTS,10
NTNNNTTNNS,10
NTNNNTTNTS,10
NTNNNTTTNS,10
NTNNNTTTTS,10
NTNNTNNNNS,10
NTNNTNNNTS,10
NTNNTNNTNS,10
NTNNTNNTTS,10
NTNNTNTNNS,10
NTNNTNTNTS,10
NTNNTNTTNS,10
NTNNTNTTTS,10
NTNNTTNNNS,10
NTNNTTNNTS,10
NTNNTTNTNS,10
NTNNTTNTTS,10
NTNNTTTNNS,10
NTNNTTTNTS,10
NTNNTTTTNS,10
NTNNTTTTTS,10
NTNTNNNNNS,10
NTNTNNNNTS,10
NTNTNNNTNS,10
NTNTNNNTTS,10
NTNTNNTNNS,10
NTNTNNTNTS,10
NTNTNNTTNS,10
NTNTNNTTTS,10
NTNTNTNNNS,10
NTNTNTNNTS,10
NTNTNTNTNS,10
NTNTNTNTTS,10
NTNTNTTNNS,10
NTNTNTTNTS,10
NTNTNTTTNS,10
NTNTNTTTTS,10
NTNTTNNNNS,10
NTNTTNNNTS,10
NTNTTNNTNS,10
NTNTTNNTTS,10
NTNTTNTNNS,10
NTNTTNTNTS,10
NTNTTNTTNS,10
NTNTTNTTTS,10
NTNTTTNNNS,10
NTNTTTNNTS,10
NTNTTTNTNS,10
NTNTTTNTTS,10
NTNTTTTNNS,10
NTNTTTTNTS,10
NTNTTTTTNS,10
NTNTTTTTTS,10
NTTNNNNNNS,10
NTTNNNNNTS,10
NTTNNNNTNS,10
NTTNNNNTTS,10
NTTNNNTNNS,10
NTTNNNTNTS,10
NTTNNNTTNS,10
NTTNNNTTTS,10
NTTNNTNNNS,10
NTTNNTNNTS,10
NTTNNTNTNS,10
NTTNNTNTTS,10
NTTNNTTNNS,10
NTTNNTTNTS,10
NTTNNTTTNS,10
NTTNNTTTTS,10
NTTNTNNNNS,10
NTTNTNNNTS,10
NTTNTNNTNS,10
NTTNTNNTTS,10
NTTNTNTNNS,10
NTTNTNTNTS,10
NTTNTNTTNS,10
NTTNTNTTTS,10
NTTNTTNNNS,10
NTTNTTNNTS,10
NTTNTTNTNS,10
NTTNTTNTTS,10
NTTNTTTNNS,10
NTTNTTTNTS,10
NTTNTTTTNS,10
NTTNTTTTTS,10
NTTTNNNNNS,10
NTTTNNNNTS,10
NTTTNNNTNS,10
NTTTNNNTTS,10
NTTTNNTNNS,10
NTTTNNTNTS,10
NTTTNNTTNS,10
NTTTNNTTTS,10
NTTTNTNNNS,10
NTTTNTNNTS,10
NTTTNTNTNS,10
NTTTNTNTTS,10
NTTTNTTNNS,10
NTTTNTTNTS,10
NTTTNTTTNS,10
NTTTNTTTTS,10
NTTTTNNNNS,10
NTTTTNNNTS,10
NTTTTNNTNS,10
NTTTTNNTTS,10
NTTTTNTNNS,10
NTTTTNTNTS,10
NTTTTNTTNS,10
NTTTTNTTTS,10
NTTTTTNNNS,10
NTTTTTNNTS,10
NTTTTTNTNS,10
NTTTTTNTTS,10
NTTTTTTNNS,10
NTTTTTTNTS,10
NTTTTTTTNS,10
NTTTTTTTTS,10
TNNNNNNNNS,10
TNNNNNNNTS,10
TNNNNNNTNS,10
TNNNNNNTTS,10
TNNNNNTNNS,10
TNNNNNTNTS,10
TNNNNNTTNS,10
TNNNNNTTTS,10
TNNNNTNNNS,10
TNNNNTNNTS,10
TNNNNTNTNS,10
TNNNNTNTTS,10
TNNNNTTNNS,10
TNNNNTTNTS,10
TNNNNTTTNS,10
TNNNNTTTTS,10
TNNNTNNNNS,10
TNNNTNNNTS,10
TNNNTNNTNS,10
TNNNTNNTTS,10
TNNNTNTNNS,10
TNNNTNTNTS,10
TNNNTNTTNS,10
TNNNTNTTTS,10
TNNNTTNNNS,10
TNNNTTNNTS,10
TNNNTTNTNS,10
TNNNTTNTTS,10
TNNNTTTNNS,10
TNNNTTTNTS,10
TNNNTTTTNS,10
TNNNTTTTTS,10
TNNTNNNNNS,10
TNNTNNNNTS,10
TNNTNNNTNS,10
TNNTNNNTTS,10
TNNTNNTNNS,10
TNNTNNTNTS,10
TNNTNNTTNS,10
TNNTNNTTTS,10
TNNTNTNNNS,10
TNNTNTNNTS,10
TNNTNTNTNS,10
TNNTNTNTTS,10
TNNTNTTNNS,10
TNNTNTTNTS,10
TNNTNTTTNS,10
TNNTNTTTTS,10
TNNTTNNNNS,10
TNNTTNNNTS,10
TNNTTNNTNS,10
TNNTTNNTTS,10
TNNTTNTNNS,10
TNNTTNTNTS,10
TNNTTNTTNS,10
TNNTTNTTTS,10
TNNTTTNNNS,10
TNNTTTNNTS,10
TNNTTTNTNS,10
TNNTTTNTTS,10
TNNTTTTNNS,10
TNNTTTTNTS,10
TNNTTTTTNS,10
TNNTTTTTTS,10
TNTNNNNNNS,10
TNTNNNNNTS,10
TNTNNNNTNS,10
TNTNNNNTTS,10
TNTNNNTNNS,10
TNTNNNTNTS,10
TNTNNNTTNS,10
TNTNNNTTTS,10
TNTNNTNNNS,10
TNTNNTNNTS,10
TNTNNTNTNS,10
TNTNNTNTTS,10
TNTNNTTNNS,10
TNTNNTTNTS,10
TNTNNTTTNS,10
TNTNNTTTTS,10
TNTNTNNNNS,10
TNTNTNNNTS,10
TNTNTNNTNS,10
TNTNTNNTTS,10
TNTNTNTNNS,10
TNTNTNTNTS,10
TNTNTNTTNS,10
TNTNTNTTTS,10
TNTNTTNNNS,10
TNTNTTNNTS,10
TNTNTTNTNS,10
TNTNTTNTTS,10
TNTNTTTNNS,10
TNTNTTTNTS,10
TNTNTTTTNS,10
TNTNTTTTTS,10
TNTTNNNNNS,10
TNTTNNNNTS,10
TNTTNNNTNS,10
TNTTNNNTTS,10
TNTTNNTNNS,10
TNTTNNTNTS,10
TNTTNNTTNS,10
TNTTNNTTTS,10
TNTTNTNNNS,10
TNTTNTNNTS,10
TNTTNTNTNS,10
TNTTNTNTTS,10
TNTTNTTNNS,10
TNTTNTTNTS,10
TNTTNTTTNS,10
TNTTNTTTTS,10
TNTTTNNNNS,10
TNTTTNNNTS,10
TNTTTNNTNS,10
TNTTTNNTTS,10
TNTTTNTNNS,10
TNTTTNTNTS,10
TNTTTNTTNS,10
TNTTTNTTTS,10
TNTTTTNNNS,10
TNTTTTNNTS,10
TNTTTTNTNS,10
TNTTTTNTTS,10
TNTTTTTNNS,10
TNTTTTTNTS,10
TNTTTTTTNS,10
TNTTTTTTTS,10
TTNNNNNNNS,10
TTNNNNNNTS,10
TTNNNNNTNS,10
TTNNNNNTTS,10
TTNNNNTNNS,10
TTNNNNTNTS,10
TTNNNNTTNS,10
TTNNNNTTTS,10
TTNNNTNNNS,10
TTNNNTNNTS,10
TTNNNTNTNS,10
TTNNNTNTTS,10
TTNNNTTNNS,10
TTNNNTTNTS,10
TTNNNTTTNS,10
TTNNNTTTTS,10
TTNNTNNNNS,10
TTNNTNNNTS,10
TTNNTNNTNS,10
TTNNTNNTTS,10
TTNNTNTNNS,10
TTNNTNTNTS,10
TTNNTNTTNS,10
TTNNTNTTTS,10
TTNNTTNNNS,10
TTNNTTNNTS,10
TTNNTTNTNS,10
TTNNTTNTTS,10
TTNNTTTNNS,10
TTNNTTTNTS,10
TTNNTTTTNS,10
TTNNTTTTTS,10
TTNTNNNNNS,10
TTNTNNNNTS,10
TTNTNNNTNS,10
TTNTNNNTTS,10
TTNTNNTNNS,10
TTNTNNTNTS,10
TTNTNNTTNS,10
TTNTNNTTTS,10
TTNTNTNNNS,10
TTNTNTNNTS,10
TTNTNTNTNS,10
TTNTNTNTTS,10
TTNTNTTNNS,10
TTNTNTTNTS,10
TTNTNTTTNS,10
TTNTNTTTTS,10
TTNTTNNNNS,10
TTNTTNNNTS,10
TTNTTNNTNS,10
TTNTTNNTTS,10
TTNTTNTNNS,10
TTNTTNTNTS,10
TTNTTNTTNS,10
TTNTTNTTTS,10
TTNTTTNNNS,10
TTNTTTNNTS,10
TTNTTTNTNS,10
TTNTTTNTTS,10
TTNTTTTNNS,10
TTNTTTTNTS,10
TTNTTTTTNS,10
TTNTTTTTTS,10
TTTNNNNNNS,10
TTTNNNNNTS,10
TTTNNNNTNS,10
TTTNNNNTTS,10
TTTNNNTNNS,10
TTTNNNTNTS,10
TTTNNNTTNS,10
TTTNNNTTTS,10
TTTNNTNNNS,10
TTTNNTNNTS,10
TTTNNTNTNS,10
TTTNNTNTTS,10
TTTNNTTNNS,10
TTTNNTTNTS,10
TTTNNTTTNS,10
TTTNNTTTTS,10
TTTNTNNNNS,10
TTTNTNNNTS,10
TTTNTNNTNS,10
TTTNTNNTTS,10
TTTNTNTNNS,10
TTTNTNTNTS,10
TTTNTNTTNS,10
TTTNTNTTTS,10
TTTNTTNNNS,10
TTTNTTNNTS,10
TTTNTTNTNS,10
TTTNTTNTTS,10
TTTNTTTNNS,10
TTTNTTTNTS,10
TTTNTTTTNS,10
TTTNTTTTTS,10
TTTTNNNNNS,10
TTTTNNNNTS,10
TTTTNNNTNS,10
TTTTNNNTTS,10
TTTTNNTNNS,10
TTTTNNTNTS,10
TTTTNNTTNS,10
TTTTNNTTTS,10
TTTTNTNNNS,10
TTTTNTNNTS,10
TTTTNTNTNS,10
TTTTNTNTTS,10
TTTTNTTNNS,10
TTTTNTTNTS,10
TTTTNTTTNS,10
TTTTNTTTTS,10
TTTTTNNNNS,10
TTTTTNNNTS,10
TTTTTNNTNS,10
TTTTTNNTTS,10
TTTTTNTNNS,10
TTTTTNTNTS,10
TTTTTNTTNS,10
TTTTTNTTTS,10
TTTTTTNNNS,10
TTTTTTNNTS,10
TTTTTTNTNS,10
TTTTTTNTTS,10
TTTTTTTNNS,10
TTTTTTTNTS,10
TTTTTTTTNS,10
TTTTTTTTTS,10
NNNNNNNNNNS,11
NNNNNNNNNTS,11
NNNNNNNNTNS,11
NNNNNNNNTTS,11
NNNNNNNTNNS,11
NNNNNNNTNTS,11
NNNNNNNTTNS,11
NNNNNNNTTTS,11
NNNNNNTNNNS,11
NNNNNNTNNTS,11
NNNNNNTNTNS,11
NNNNNNTNTTS,11
NNNNNNTTNNS,11
NNNNNNTTNTS,11
NNNNNNTTTNS,11
NNNNNNTTTTS,11
NNNNNTNNNNS,11
NNNNNTNNNTS,11
NNNNNTNNTNS,11
NNNNNTNNTTS,11
NNNNNTNTNNS,11
NNNNNTNTNTS,11
NNNNNTNTTNS,11
NNNNNTNTTTS,11
NNNNNTTNNNS,11
NNNNNTTNNTS,11
NNNNNTTNTNS,11
NNNNNTTNTTS,11
NNNNNTTTNNS,11
NNNNNTTTNTS,11
NNNNNTTTTNS,11
NNNNNTTTTTS,11
NNNNTNNNNNS,11
NNNNTNNNNTS,11
NNNNTNNNTNS,11
NNNNTNNNTTS,11
NNNNTNNTNNS,11
NNNNTNNTNTS,11
NNNNTNNTTNS,11
NNNNTNNTTTS,11
NNNNTNTNNNS,11
NNNNTNTNNTS,11
NNNNTNTNTNS,11
NNNNTNTNTTS,11
NNNNTNTTNNS,11
NNNNTNTTNTS,11
NNNNTNTTTNS,11
NNNNTNTTTTS,11
NNNNTTNNNNS,11
NNNNTTNNNTS,11
NNNNTTNNTNS,11
NNNNTTNNTTS,11
NNNNTTNTNNS,11
NNNNTTNTNTS,11
NNNNTTNTTNS,11
NNNNTTNTTTS,11
NNNNTTTNNNS,11
NNNNTTTNNTS,11
NNNNTTTNTNS,11
NNNNTTTNTTS,11
NNNNTTTTNNS,11
NNNNTTTTNTS,11
NNNNTTTTTNS,11
NNNNTTTTTTS,11
NNNTNNNNNNS,11
NNNTNNNNNTS,11
NNNTNNNNTNS,11
NNNTNNNNTTS,11
NNNTNNNTNNS,11
NNNTNNNTNTS,11
NNNTNNNTTNS,11
NNNTNNNTTTS,11
NNNTNNTNNNS,11
NNNTNNTNNTS,11
NNNTNNTNTNS,11
NNNTNNTNTTS,11
NNNTNNTTNNS,11
NNNTNNTTNTS,11
NNNTNNTTTNS,11
NNNTNNTTTTS,11
NNNTNTNNNNS,11
NNNTNTNNNTS,11
NNNTNTNNTNS,11
NNNTNTNNTTS,11
NNNTNTNTNNS,11
NNNTNTNTNTS,11
NNNTNTNTTNS,11
NNNTNTNTTTS,11
NNNTNTTNNNS,11
NNNTNTTNNTS,11
NNNTNTTNTNS,11
NNNTNTTNTTS,11
NNNTNTTTNNS,11
NNNTNTTTNTS,11
NNNTNTTTTNS,11
NNNTNTTTTTS,11
NNNTTNNNNNS,11
NNNTTNNNNTS,11
NNNTTNNNTNS,11
NNNTTNNNTTS,11
NNNTTNNTNNS,11
NNNTTNNTNTS,11
NNNTTNNTTNS,11
NNNTTNNTTTS,11
NNNTTNTNNNS,11
NNNTTNTNNTS,11
NNNTTNTNTNS,11
NNNTTNTNTTS,11
NNNTTNTTNNS,11
NNNTTNTTNTS,11
NNNTTNTTTNS,11
NNNTTNTTTTS,11
NNNTTTNNNNS,11
NNNTTTNNNTS,11
NNNTTTNNTNS,11
NNNTTTNNTTS,11
NNNTTTNTNNS,11
NNNTTTNTNTS,11
NNNTTTNTTNS,11
NNNTTTNTTTS,11
